x1,x2,x3,x4,x5,x6,y
7322,0,0,65.5873,2.2039,0.1004,2.6736
7322.5,0,0,64.3286,2.014,0.1126,2.653
7323,0,0,62.3243,1.7562,0.124,2.6077
7323.5,0,0,57.7484,1.8355,0.161,2.5412
7324,0,0,55.0465,2.2908,0.1625,2.638
7324.5,0,0,51.6481,2.4487,0.0975,2.6537
7325,0,0,50.5634,2.5965,0.0516,2.6919
7325.5,0,0,50.7492,2.5868,0.0389,2.7073
7326,0,0,51.7702,2.5113,0.0452,2.7136
7326.5,0,0,53.4139,2.6182,0.0491,2.7152
7327,0,0,53.6827,2.6254,0.0471,2.7162
7327.5,0,0,55.5761,2.4126,0.0476,2.7022
7328,0,0,57.828,2.2662,0.0503,2.7023
7328.5,0,0,58.0514,2.2024,0.0587,2.6817
7329,0,0,57.7336,2.1659,0.071,2.6862
7329.5,0,0,57.2337,2.1375,0.0791,2.6898
7330,0,0,56.7516,2.1942,0.0827,2.6902
7330.5,0,0,55.3193,1.7981,0.0842,2.7024
7331,0,0,53.9173,2.0101,0.0875,2.7208
7331.5,0,0,53.062,2.1685,0.0749,2.6836
7332,0,0,53.1976,2.2735,0.0648,2.6995
7332.5,0,0,53.9913,2.2824,0.0556,2.6908
7333,0,0,54.2265,2.3679,0.0542,2.6768
7333.5,0,0,53.1785,2.4828,0.0502,2.7306
7334,0,0,53.4139,2.2555,0.046,2.7263
7334.5,0,0,53.9974,1.9903,0.0465,2.7315
7335,0,0,54.0872,2.196,0.0505,2.718
7335.5,0,0,53.8975,2.242,0.049,2.7034
7336,0,0,53.5492,2.1352,0.0497,2.7135
7336.5,0,0,53.2628,2.0082,0.0514,2.7386
7337,0,0,52.0291,2.028,0.054,2.723
7337.5,0,0,51.6301,2.0561,0.0502,2.7081
7338,0,0,51.4136,2.3229,0.044,2.7088
7338.5,0,0,51.2702,2.7611,0.0371,2.7379
7339,0,0,51.6664,2.7228,0.0317,2.7489
7339.5,0,0,52.4559,2.6086,0.029,2.7258
7340,0,0,52.5848,2.4337,0.0287,2.7218
7340.5,0,0,53.9516,2.4238,0.0303,2.7104
7341,0,0,54.3388,2.388,0.0335,2.7132
7341.5,0,0,54.0658,2.1931,0.039,2.6962
7342,0,0,54.4079,2.1817,0.0469,2.6952
7342.5,0,0,55.0566,2.0283,0.0525,2.7161
7343,0,0,54.775,2.161,0.0551,2.7382
7343.5,0,0,54.4168,2.2917,0.0565,2.7401
7344,0,0,53.9208,2.1232,0.0603,2.7302
7344.5,0,0,53.0954,2.1621,0.0607,2.7503
7345,0,0,52.6093,2.3079,0.0609,2.7308
7345.5,0,0,51.6408,2.3575,0.0522,2.7277
7346,0,0,51.9499,2.4901,0.0438,2.7225
7346.5,0,0,51.7204,2.6209,0.0349,2.72
7347,0,0,51.7425,2.6211,0.0302,2.7315
7347.5,0,0,51.9033,2.5348,0.0297,2.721
7348,0,0,52.0735,2.5591,0.0282,2.7187
7348.5,0,0,52.5066,2.329,0.0284,2.7174
7349,0,0,52.6519,2.4399,0.0282,2.7299
7349.5,0,0,52.7459,2.4424,0.0319,2.756
7350,0,0,53.0575,2.2111,0.0357,2.7502
7350.5,0,0,52.828,2.1727,0.041,2.7416
7351,0,0,53.1852,2.3496,0.0417,2.7206
7351.5,0,0,52.651,2.2201,0.0409,2.7261
7352,0,0,53.3876,2.0269,0.042,2.7156
7352.5,0,0,52.6597,2.2388,0.0455,2.7311
7353,0,0,52.9331,2.1703,0.0466,2.7055
7353.5,0,0,53.2344,2.2734,0.0456,2.7075
7354,0,0,53.3048,2.1523,0.0438,2.7076
7354.5,0,0,53.1255,2.0572,0.0452,2.7123
7355,0,0,53.5253,2.5023,0.046,2.7398
7355.5,0,0,53.1949,2.1184,0.044,2.7748
7356,0,0,52.5749,1.9667,0.0464,2.7534
7356.5,0,0,52.98,2.3638,0.0476,2.7496
7357,0,0,56.9139,2.9852,0.0436,2.7285
7357.5,0,0,59.9337,2.544,0.039,2.7441
7358,0,0,62.1,2.4017,0.0407,2.7504
7358.5,0,0,64.5155,2.1375,0.0561,2.7469
7359,0,0,65.327,1.5949,0.0791,2.7092
7359.5,0,0,67.3174,1.4633,0.1182,2.6695
7360,0,0,67.7681,1.6965,0.1448,2.6932
7360.5,0,0,68.5448,2.3409,0.1437,2.7459
7361,0,0,67.4984,2.5216,0.1233,2.7017
7361.5,0,0,66.804,2.3908,0.134,2.6193
7362,0,0,64.6887,2.2266,0.17,2.5783
7362.5,0,1,64.1073,2.2512,0.204,2.5465
7363,0,1,62.5372,2.4572,0.1903,2.6179
7363.5,0,1,59.8264,2.6888,0.1478,2.6819
7364,0,1,61.2902,2.1688,0.1045,2.687
7364.5,0,1,61.418,1.855,0.0906,2.7036
7365,1,0,59.7424,1.6792,0.1137,2.6956
7365.5,1,0,60.3247,2.1711,0.1399,2.6885
7366,1,0,60.0014,2.3838,0.148,2.745
7366.5,1,0,61.1951,1.9615,0.1528,2.8132
7367,1,0,67.3471,1.3566,0.1864,2.4373
7367.5,1,0,58.0592,1.0334,0.2336,2.2294
7368,1,0,60.5742,1.4604,0.2626,2.4476
7368.5,1,0,61.2034,2.0377,0.255,2.7127
7369,1,0,59.6472,2.1356,0.2099,2.6769
7369.5,1,0,58.4331,2.2348,0.1513,2.6743
7370,1,0,56.6715,2.2156,0.1071,2.6939
7370.5,0,1,55.4345,2.2877,0.0816,2.6725
7371,0,1,54.6902,1.7738,0.068,2.6748
7371.5,0,1,53.8231,1.8961,0.0667,2.6652
7372,0,1,53.5926,2.1102,0.0589,2.675
7372.5,0,1,54.7487,2.2786,0.0488,2.6667
7373,0,0,54.4722,2.2449,0.0377,2.721
7373.5,0,0,55.4891,1.9626,0.0362,2.6932
7374,0,0,54.8204,1.9706,0.0351,2.7249
7374.5,0,0,56.0235,1.9571,0.0409,2.7311
7375,0,0,55.9498,1.9528,0.0441,2.7325
7375.5,0,0,56.3074,2.1205,0.0484,2.7034
7376,0,0,55.5123,1.9942,0.0526,2.6999
7376.5,0,0,54.207,1.9351,0.0561,2.6985
7377,0,0,53.1856,1.7776,0.0626,2.704
7377.5,0,0,54.5681,1.9501,0.0611,2.6942
7378,0,0,54.3346,1.7313,0.0572,2.6748
7378.5,0,0,54.5226,2.0694,0.0528,2.6899
7379,0,0,54.6976,2.1235,0.0445,2.6759
7379.5,0,0,54.8761,1.9101,0.0425,2.6883
7380,0,0,54.8647,1.9502,0.0471,2.6831
7380.5,0,0,54.9605,2.0727,0.0523,2.6954
7381,0,0,55.8481,1.8855,0.0503,2.7113
7381.5,0,0,60.4825,1.845,0.0518,2.716
7382,0,0,62.2742,2.1376,0.0533,2.7127
7382.5,0,0,68.4991,1.7917,0.0571,2.7062
7383,0,0,70.6683,1.7555,0.0663,2.7047
7383.5,0,0,72.5734,1.3397,0.0882,2.6828
7384,0,0,74.3282,1.083,0.1291,2.6605
7384.5,0,0,73.5817,1.1008,0.1692,2.6217
7385,0,0,73.587,1.1195,0.1917,2.6365
7385.5,0,0,74.6997,1.1485,0.2074,2.6324
7386,0,0,77.6437,1.1865,0.2111,2.64
7386.5,0,0,79.1709,1.2791,0.2135,2.6348
7387,0,0,80.726,1.3967,0.2129,2.6229
7387.5,0,0,79.7169,1.2257,0.2191,2.575
7388,0,0,79.0982,1.2678,0.2198,2.5034
7388.5,0,0,74.0351,1.2924,0.2311,2.4171
7389,0,0,69.9684,1.4313,0.2494,2.4413
7389.5,0,0,69.0696,1.6259,0.2395,2.4846
7390,0,0,68.8214,1.8097,0.2096,2.5418
7390.5,0,0,69.9983,1.9852,0.168,2.5868
7391,0,0,76.5603,2.1265,0.1403,2.65
7391.5,0,0,71.3929,1.7333,0.139,2.6975
7392,0,0,83.024,1.438,0.1661,2.5176
7392.5,0,0,84.4055,1.3593,0.2097,2.4494
7393,0,0,83.5007,1.374,0.251,2.4475
7393.5,0,0,82.6691,1.3579,0.2564,2.4119
7394,0,0,80.8831,1.2641,0.2459,2.524
7394.5,0,0,80.1739,1.3581,0.2446,2.4426
7395,0,0,77.8029,1.2882,0.2744,2.4578
7395.5,0,0,75.4497,1.2072,0.2908,2.5206
7396,0,0,74.7868,1.2293,0.2857,2.5327
7396.5,0,0,75.1541,1.2584,0.2476,2.5472
7397,0,0,75.8071,1.3158,0.2462,2.5568
7397.5,0,0,77.9555,1.4038,0.242,2.5685
7398,0,0,80.8219,1.5519,0.2283,2.6404
7398.5,0,0,82.8783,1.3671,0.21,2.6009
7399,0,0,84.2001,1.2825,0.214,2.4861
7399.5,0,0,83.8973,1.1514,0.2376,2.49
7400,0,0,83.2673,1.2716,0.2708,2.4299
7400.5,0,0,82.9766,1.239,0.2966,2.4294
7401,0,0,82.7342,1.2726,0.2975,2.4297
7401.5,0,0,80.4425,1.1955,0.2897,2.4314
7402,0,0,80.0796,1.1522,0.27,2.4863
7402.5,0,0,77.9967,1.1195,0.283,2.5252
7403,0,0,75.214,1.1883,0.2583,2.4761
7403.5,0,0,71.5729,1.2374,0.2503,2.5151
7404,0,0,68.9538,1.2999,0.2119,2.5382
7404.5,0,0,67.3837,1.3868,0.1786,2.5411
7405,0,0,67.9369,1.5181,0.1414,2.5813
7405.5,0,0,69.0204,1.7988,0.1106,2.631
7406,0,0,71.3956,1.9076,0.1009,2.6915
7406.5,0,0,72.9463,1.1463,0.1167,2.6998
7407,0,0,77.035,0.9476,0.1545,2.5539
7407.5,0,0,76.5357,1.0129,0.1997,2.5235
7408,0,0,79.29,0.8846,0.215,2.5214
7408.5,0,0,80.2736,0.9018,0.2274,2.528
7409,0,0,81.1119,1.0065,0.2215,2.4978
7409.5,0,0,80.6439,1.1122,0.2554,2.4455
7410,0,0,79.1401,1.0889,0.2601,2.4642
7410.5,0,0,76.8677,1.1176,0.2605,2.4409
7411,0,0,72.9461,1.1611,0.2576,2.4743
7411.5,0,0,66.789,1.0741,0.283,2.5043
7412,0,0,63.8655,1.3647,0.2702,2.5393
7412.5,0,0,62.9513,2.0399,0.2231,2.5498
7413,0,0,63.8166,2.3555,0.1389,2.6394
7413.5,0,0,66.5321,2.5143,0.1016,2.6787
7414,0,0,70.7769,2.2313,0.0952,2.7014
7414.5,0,0,74.0236,1.4156,0.118,2.6859
7415,0,0,78.5418,1.0237,0.1562,2.5739
7415.5,0,0,80.0971,1.0722,0.1972,2.5516
7416,0,0,84.2951,1.1041,0.2208,2.4878
7416.5,0,0,84.1804,1.1074,0.2222,2.474
7417,0,0,84.0914,1.1748,0.245,2.4654
7417.5,0,0,83.0744,1.1744,0.264,2.4883
7418,0,0,83.3417,1.0643,0.2946,2.4381
7418.5,0,1,81.6128,1.2865,0.3047,2.4096
7419,0,1,79.885,1.361,0.2788,2.5076
7419.5,0,1,80.2914,1.0175,0.2911,2.5022
7420,0,1,80.7571,0.9308,0.2832,2.4998
7420.5,0,1,81.847,0.9509,0.3015,2.5664
7421,1,0,83.3571,0.9131,0.2885,2.6037
7421.5,1,0,84.1386,0.9168,0.2893,2.5027
7422,1,0,83.7256,1.0508,0.2937,2.4465
7422.5,1,0,84.5444,1.0772,0.3219,2.4551
7423,1,0,83.359,1.0704,0.3031,2.4279
7423.5,1,0,82.2431,1.1193,0.3149,2.3847
7424,1,0,81.8917,1.1685,0.2708,2.4232
7424.5,1,0,83.181,1.193,0.2816,2.4142
7425,1,0,83.9177,1.1709,0.2953,2.4562
7425.5,1,0,83.916,1.0745,0.3079,2.4654
7426,1,0,83.8127,0.9899,0.3037,2.4873
7426.5,0,1,86.1816,1.0929,0.2792,2.4609
7427,0,1,86.4744,1.0631,0.3072,2.4456
7427.5,0,1,85.9167,1.1734,0.3107,2.45
7428,0,1,87.2233,1.1444,0.3051,2.4527
7428.5,0,1,88.7671,1.068,0.3043,2.4397
7429,0,0,87.4484,1.0759,0.2966,2.43
7429.5,0,0,87.5895,1.0936,0.3377,2.4387
7430,0,0,86.9254,1.0562,0.313,2.4177
7430.5,0,0,86.0302,1.0319,0.3226,2.418
7431,0,0,85.1188,1.054,0.2851,2.4354
7431.5,0,0,84.3032,1.0555,0.2951,2.4467
7432,0,0,83.6649,1.0796,0.2851,2.5534
7432.5,0,0,83.0162,1.0482,0.296,2.4511
7433,0,0,83.986,1.0104,0.2611,2.4741
7433.5,0,0,80.2425,1.0718,0.2644,2.474
7434,0,0,80.2471,1.0628,0.225,2.6566
7434.5,0,0,79.1451,1.1175,0.2342,2.4898
7435,0,0,77.6855,1.1081,0.2206,2.4768
7435.5,0,0,76.1536,1.0974,0.2597,2.4749
7436,0,0,75.0353,1.0231,0.2263,2.5941
7436.5,0,0,71.9204,0.8527,0.2231,2.5989
7437,0,0,67.7211,0.9048,0.2135,2.5273
7437.5,0,0,65.8773,0.9101,0.2168,2.5504
7438,0,0,65.575,0.9512,0.206,2.5408
7438.5,0,0,65.9235,1.3912,0.2141,2.4773
7439,0,0,69.1525,2.0009,0.1854,2.6724
7439.5,0,0,71.6957,1.4343,0.1632,2.679
7440,0,0,74.4422,1.0146,0.1682,2.4655
7440.5,0,0,76.8351,0.8576,0.2039,2.4846
7441,0,0,76.6839,0.7719,0.2448,2.4909
7441.5,0,0,74.6141,0.7758,0.2252,2.5306
7442,0,0,72.0281,0.7526,0.2204,2.5264
7442.5,0,0,69.6883,0.8265,0.2121,2.5278
7443,0,0,67.6317,0.8364,0.2201,2.5468
7443.5,0,0,65.4318,0.8955,0.2051,2.5993
7444,0,0,64.6922,0.9829,0.1822,2.6408
7444.5,0,0,66.1049,0.9539,0.1557,2.6894
7445,0,0,68.3962,1.0077,0.1459,2.6768
7445.5,0,0,70.1042,0.9357,0.1439,2.6621
7446,0,0,73.8912,0.8229,0.1464,2.6306
7446.5,0,0,76.2321,0.7109,0.1582,2.5285
7447,0,0,78.4927,0.6802,0.1765,2.4803
7447.5,0,0,80.4626,0.7281,0.1898,2.469
7448,0,0,81.9245,0.8277,0.2089,2.4709
7448.5,0,0,83.7315,0.9658,0.2559,2.4644
7449,0,0,82.8826,0.9765,0.2817,2.4758
7449.5,0,0,82.3649,1.0467,0.285,2.4828
7450,0,0,80.6483,0.9632,0.282,2.4664
7450.5,0,0,80.5183,0.8381,0.2628,2.5116
7451,0,0,80.4005,0.9341,0.2553,2.4901
7451.5,0,0,81.3147,0.9847,0.2459,2.5208
7452,0,0,82.7429,0.9651,0.241,2.5318
7452.5,0,0,84.0532,0.9027,0.2501,2.4868
7453,0,0,83.4884,0.8696,0.284,2.498
7453.5,0,0,81.3369,0.9341,0.3076,2.5076
7454,0,0,78.8098,0.9603,0.2948,2.4845
7454.5,0,0,76.5534,0.97,0.2855,2.4597
7455,0,1,74.8944,0.9965,0.2692,2.5009
7455.5,0,1,74.2479,1.1099,0.2238,2.4934
7456,0,1,74.9833,1.4601,0.1993,2.6011
7456.5,0,1,74.8311,1.5393,0.1765,2.7407
7457,0,1,79.0264,1.1975,0.188,2.5921
7457.5,1,0,83.3856,1.0253,0.206,2.5051
7458,1,0,84.9472,0.7972,0.2403,2.5448
7458.5,1,0,85.668,0.7832,0.2383,2.5166
7459,1,0,86.0338,1.0277,0.2638,2.53
7459.5,1,0,85.7343,0.904,0.276,2.4693
7460,1,0,87.1889,0.6307,0.3412,2.1887
7460.5,1,0,86.562,0.8851,0.3215,2.4308
7461,1,0,83.8773,1.1431,0.2608,2.6373
7461.5,1,0,84.0905,0.9504,0.2536,2.5242
7462,1,0,84.4464,0.658,0.2908,2.5383
7462.5,1,0,82.3273,0.5879,0.3292,2.536
7463,0,1,81.0633,0.6334,0.3362,2.5525
7463.5,0,1,78.6382,0.7545,0.3144,2.5539
7464,0,1,76.8327,0.712,0.3178,2.5845
7464.5,0,1,76.8092,0.7375,0.287,2.5736
7465,0,1,76.8663,0.7776,0.2719,2.5862
7465.5,0,0,77.3714,0.7912,0.2587,2.6088
7466,0,0,78.641,0.8784,0.2544,2.6308
7466.5,0,0,81.6208,1.0196,0.249,2.6005
7467,0,0,83.4301,0.924,0.2486,2.5586
7467.5,0,0,85.0055,0.7718,0.2624,2.5488
7468,0,0,85.2483,0.9013,0.2799,2.495
7468.5,0,0,84.0366,0.9767,0.277,2.4889
7469,0,0,80.4569,1.0335,0.2933,2.4475
7469.5,0,0,76.8396,1.1159,0.2871,2.5018
7470,0,0,71.1035,1.2456,0.2623,2.5228
7470.5,0,0,68.0503,1.4018,0.2408,2.5438
7471,0,0,64.499,1.5068,0.2102,2.5469
7471.5,0,0,60.8646,1.6734,0.1825,2.5659
7472,0,0,58.5829,1.8083,0.1421,2.6178
7472.5,0,0,57.0692,1.8268,0.1031,2.6383
7473,0,0,54.8843,1.932,0.084,2.6362
7473.5,0,0,53.9135,2.0591,0.0698,2.6795
7474,0,0,55.2689,2.1228,0.0631,2.635
7474.5,0,0,57.594,2.1797,0.0608,2.6975
7475,0,0,61.348,2.1781,0.0604,2.6954
7475.5,0,0,66.8228,2.1128,0.066,2.7143
7476,0,0,72.2475,1.7821,0.0752,2.7141
7476.5,0,0,74.7102,1.5006,0.0996,2.6498
7477,0,0,77.5175,1.2743,0.1253,2.5907
7477.5,0,0,78.7204,0.9797,0.1636,2.5369
7478,0,0,80.8768,0.9461,0.2156,2.5223
7478.5,0,0,81.8124,0.8634,0.2432,2.563
7479,0,0,82.8158,0.9969,0.2697,2.5782
7479.5,0,0,84.7494,1.0534,0.2916,2.524
7480,0,0,85.0459,1.0927,0.3026,2.4939
7480.5,0,0,84.6228,0.9819,0.3226,2.4486
7481,0,0,83.8683,0.9745,0.3223,2.454
7481.5,0,0,84.1346,0.9937,0.3036,2.4595
7482,0,0,83.989,0.9622,0.2706,2.4281
7482.5,0,0,85.5468,0.8596,0.2529,2.52
7483,0,0,86.6594,0.7555,0.268,2.5646
7483.5,0,1,88.1751,0.8743,0.3108,2.5786
7484,0,1,86.5002,0.9617,0.3413,2.4819
7484.5,0,1,86.4882,0.9695,0.3447,2.4401
7485,0,1,77.4358,0.9628,0.329,2.4533
7485.5,0,1,73.6299,1.313,0.318,2.4785
7486,1,0,71.7307,1.6801,0.278,2.5698
7486.5,1,0,72.802,2.1932,0.2063,2.6882
7487,1,0,83.0486,1.7896,0.1527,2.7444
7487.5,1,0,83.2213,1.2424,0.135,2.6134
7488,1,0,85.0377,1.1688,0.1544,2.5049
7488.5,1,0,83.4337,1.2433,0.2108,2.3838
7489,1,0,82.891,1.1597,0.2575,2.4231
7489.5,1,0,81.5264,1.1234,0.2759,2.4139
7490,1,0,82.8129,1.1773,0.2977,2.4361
7490.5,1,0,81.823,1.1598,0.2937,2.5418
7491,1,0,83.6,1.4017,0.2784,2.6173
7491.5,0,1,89.1622,0.9801,0.2235,2.6081
7492,0,1,90.37,0.6985,0.2449,2.4821
7492.5,0,1,90.0177,0.671,0.2467,2.5614
7493,0,1,89.0331,0.729,0.2948,2.5351
7493.5,0,1,88.1006,0.9149,0.3384,2.4614
7494,0,0,87.7651,0.8772,0.3655,2.4545
7494.5,0,0,86.8702,0.6726,0.3199,2.5601
7495,0,0,85.3533,0.7276,0.2762,2.575
7495.5,0,0,83.0471,0.9432,0.2727,2.516
7496,0,0,81.0954,1.1572,0.2905,2.4432
7496.5,0,0,78.8065,1.0662,0.3139,2.463
7497,0,0,77.782,1.0184,0.2925,2.5201
7497.5,0,0,78.0489,1.5041,0.2639,2.5985
7498,0,0,78.9866,1.3091,0.2205,2.6233
7498.5,0,0,80.327,1.0679,0.2363,2.5498
7499,0,1,81.7902,0.9558,0.2619,2.5067
7499.5,0,1,80.0506,0.9103,0.2592,2.568
7500,0,1,77.212,0.8983,0.2586,2.4963
7500.5,0,1,76.9903,1.0035,0.2681,2.5232
7501,0,1,74.5726,1.0441,0.2639,2.559
7501.5,1,0,75.5365,0.9704,0.2554,2.5828
7502,1,0,80.0154,1.4657,0.2333,2.6732
7502.5,1,0,87.5662,1.3565,0.2228,2.6894
7503,1,0,86.4911,1.1096,0.2239,2.5504
7503.5,1,0,89.4585,0.6015,0.2561,2.4795
7504,1,0,89.5448,0.587,0.3004,2.2693
7504.5,1,0,85.9428,0.865,0.3331,2.5686
7505,1,0,84.8214,1.0293,0.3397,2.5876
7505.5,1,0,84.5665,0.8897,0.3184,2.5329
7506,1,0,83.0356,0.6339,0.3079,2.339
7506.5,1,0,79.632,1.0326,0.2844,2.6292
7507,1,0,75.9193,1.1396,0.2381,2.6177
7507.5,1,0,76.4431,1.0838,0.236,2.599
7508,1,0,75.2597,1.0718,0.2222,2.6266
7508.5,1,0,74.0141,1.0753,0.2315,2.605
7509,0,1,74.4364,1.0297,0.2555,2.5372
7509.5,0,1,75.3566,1.009,0.2883,2.5064
7510,0,1,76.8186,1.4782,0.2601,2.6163
7510.5,0,1,78.7336,1.4158,0.2154,2.723
7511,0,1,83.4831,0.9565,0.1944,2.615
7511.5,0,0,87.1994,0.8781,0.2362,2.5443
7512,0,0,87.5,0.8183,0.2658,2.4851
7512.5,0,0,87.4993,0.8165,0.293,2.5021
7513,0,0,86.0788,0.879,0.3055,2.5014
7513.5,0,0,85.3653,1.0884,0.3244,2.5095
7514,0,0,85.0483,1.0529,0.291,2.503
7514.5,0,0,85.8978,0.9164,0.2846,2.5054
7515,0,0,85.8749,0.9243,0.2706,2.5399
7515.5,0,0,85.1936,0.9968,0.2942,2.5243
7516,0,0,85.328,0.8842,0.294,2.5528
7516.5,0,1,85.3469,0.8957,0.3137,2.518
7517,0,1,85.3567,1.061,0.3117,2.4966
7517.5,0,1,85.007,1.0208,0.3188,2.5025
7518,0,1,85.2601,1.0539,0.3147,2.5258
7518.5,0,1,84.7904,0.9551,0.3155,2.5869
7519,1,0,88.1862,0.9367,0.3129,2.4698
7519.5,1,0,90.8605,0.9491,0.3191,2.4718
7520,1,0,86.3511,1.0618,0.3407,2.4792
7520.5,1,0,81.2188,1.0953,0.3481,2.5294
7521,1,0,80.3349,1.0555,0.3402,2.5311
7521.5,1,0,81.7696,0.7057,0.3628,2.1546
7522,1,0,80.164,0.9433,0.3491,2.1993
7522.5,1,0,82.6063,1.1382,0.3611,2.4966
7523,1,0,83.0799,1.0542,0.3387,2.4553
7523.5,1,0,84.165,1.021,0.3526,2.4634
7524,1,0,82.7298,0.9861,0.3429,2.42
7524.5,1,0,67.2261,0.958,0.3078,2.4439
7525,1,0,84.324,0.9371,0.3032,2.5311
7525.5,1,0,84.0318,0.9497,0.2882,2.5434
7526,1,0,83.0918,0.9917,0.3067,2.5004
7526.5,1,0,84.3631,0.7075,0.3116,2.0948
7527,1,0,80.9859,0.5881,0.411,2.1861
7527.5,1,0,79.55,0.9953,0.3564,2.586
7528,1,0,77.3127,1.3664,0.3011,2.6363
7528.5,1,0,79.9364,1.2423,0.2563,2.5935
7529,1,0,83.8162,1.3398,0.2781,2.5046
7529.5,1,0,85.0636,1.2438,0.2714,2.5094
7530,1,0,85.915,1.0294,0.2862,2.5499
7530.5,0,1,88.0983,1.2713,0.3048,2.4499
7531,0,1,88.1169,1.1181,0.3384,2.4809
7531.5,0,1,84.3248,0.7408,0.3495,2.4363
7532,0,1,83.3952,0.7579,0.3567,2.5034
7532.5,0,1,70.4039,0.8907,0.3305,2.4886
7533,0,0,66.455,0.9268,0.2968,2.494
7533.5,0,0,64.7604,0.9529,0.296,2.5215
7534,0,0,63.4872,1.2576,0.2693,2.5592
7534.5,0,0,62.9677,1.7192,0.2092,2.6619
7535,0,0,65.856,2.187,0.1446,2.7132
7535.5,0,0,69.5123,2.6629,0.1054,2.7361
7536,0,0,76.1589,1.9768,0.0948,2.7391
7536.5,0,0,77.2567,1.3341,0.1241,2.6732
7537,0,0,80.1001,1.0437,0.212,2.5612
7537.5,0,1,79.3272,1.2126,0.3025,2.5807
7538,0,1,79.8601,1.3816,0.2794,2.6492
7538.5,0,1,80.7866,1.2313,0.2399,2.6005
7539,0,1,82.2075,1.3302,0.2147,2.5211
7539.5,0,1,82.5511,1.1332,0.2252,2.5884
7540,1,0,86.59,0.8838,0.2513,2.517
7540.5,1,0,87.4249,0.7995,0.2776,2.6008
7541,1,0,89.9615,0.8059,0.2937,2.5665
7541.5,1,0,88.271,0.9575,0.2954,2.5279
7542,1,0,89.3925,1.0016,0.3026,2.5235
7542.5,1,0,87.2132,0.7585,0.2965,2.3576
7543,1,0,86.124,0.7776,0.3087,2.3878
7543.5,1,0,81.7974,0.8971,0.3022,2.5724
7544,1,0,82.5366,1.089,0.2994,2.4809
7544.5,1,0,82.3995,1.4345,0.2982,2.5152
7545,1,0,80.619,1.5052,0.2941,2.5812
7545.5,1,0,77.5608,1.3194,0.3229,2.5315
7546,0,1,74.1759,1.2619,0.3494,2.446
7546.5,0,1,71.2351,1.3455,0.3414,2.4521
7547,0,1,72.5784,1.5184,0.2667,2.5776
7547.5,0,1,72.9564,1.9802,0.1963,2.6802
7548,0,1,75.033,1.946,0.1519,2.7087
7548.5,0,0,80.2619,1.2845,0.1571,2.689
7549,0,0,83.3939,0.9526,0.1824,2.6054
7549.5,0,0,83.5634,0.9508,0.22,2.5472
7550,0,0,86.2242,1.1875,0.261,2.5557
7550.5,0,0,85.8728,1.0435,0.2934,2.5356
7551,0,0,83.3908,0.7966,0.3113,2.5216
7551.5,0,0,81.5123,0.7804,0.322,2.5114
7552,0,0,76.9337,0.8403,0.2721,2.5747
7552.5,0,0,77.0672,0.88,0.2632,2.5934
7553,0,0,80.9497,0.9524,0.2437,2.5918
